,score,session_id
235,0.0,25566
236,9.929255148770763e-06,28987
237,0.0,23625
238,-9.765470814176009e-06,10245
239,2.6258699728088887e-07,13636
240,4.4541626174279345e-06,12615
241,-9.730299046025039e-06,6297
242,-7.520379669239312e-07,14964
243,-6.8489981026420926e-06,16789
244,3.21625248738932e-05,22026
245,-9.96735690613231e-08,5395
246,0.0,23479
247,0.0004158512574239528,24411
248,0.0,20320
249,-3.34737069430942e-06,21791
250,-7.222999248380517e-06,28728
251,-2.2159570264524217e-05,12853
252,-5.156030666234765e-06,4722
253,0.0,12606
254,9.718172983479152e-06,14041
255,2.6077097505667302e-05,14163
256,-2.3757961075744558e-06,14571
257,-1.0440684210191832e-06,18111
258,-4.854402583419099e-06,18507
259,0.0,18754
260,4.239249077748549e-05,11281
261,0.0,23086
262,0.0,25060
263,-3.4994564877948603e-06,26099
264,0.0001401575704597712,4731
265,0.00031846860783509235,14309
266,0.0,2632
267,6.170025849326416e-06,2513
268,5.0958492906700206e-05,1313
269,0.0,22821
270,0.0,25846
271,1.2957563977972404e-06,16932
272,-2.140662490516735e-05,17066
273,0.0,27013
274,1.5891947378827403e-06,10882
275,9.968569879752808e-06,18352
276,0.0,24122
277,0.0,25313
278,2.7344438192987396e-05,15732
279,-4.051880600996565e-06,25849
280,-9.519777814238563e-05,27540
281,7.968853036955067e-06,27927
282,-2.1865889212828805e-06,20856
283,0.0,14428
284,-1.4662100667932382e-05,11686
285,-2.20064319275427e-06,19031
286,2.716881434082494e-05,29255
287,1.7794941264328772e-06,1054
288,-8.098477486232627e-07,17182
289,2.7312230520582165e-05,2382
290,-4.859086491739576e-06,9986
291,0.0,19153
292,0.0,29118
293,-4.7433939562220295e-07,22958
294,6.238666993683018e-05,3043
295,3.604874231696102e-05,6044
296,0.0,10492
297,0.0,13008
298,-1.4949290373746253e-07,4344
299,0.0,22050
300,1.469132391426134e-06,810
301,-2.689332317612047e-05,8673
302,7.542077143978792e-06,8810
303,0.0,16393
304,7.219214216298832e-06,6693
305,1.457725947521872e-05,10373
306,-2.6188583039894716e-07,20865
307,6.181610966382049e-08,22419
308,0.0,28073
309,-6.404264973482014e-06,1334
310,3.329739044024451e-05,3287
311,7.092836537885095e-05,16149
312,2.577929461464903e-06,10772
313,-5.766203403152827e-07,23229
314,6.144325386308129e-06,24795
315,-1.0601643254704355e-05,28195
316,0.0,18885
317,-1.1007160424069773e-05,24539
318,1.535869151336491e-05,13648
319,4.859086491739576e-06,28058
320,3.027673654495811e-05,21368
321,0.0,24527
322,3.7278204546617374e-05,26888
323,8.974722574222565e-05,4594
324,0.00015950652530096837,3162
325,0.00026620981898019166,11546
326,7.149647407253731e-06,4719
327,7.779681176182459e-05,8929
328,-6.104709457479235e-06,15741
329,-2.272646368856148e-05,25852
330,-4.979192254102275e-06,3040
331,-3.239390994493101e-07,289
332,0.0,13261
333,5.255635813498069e-06,19430
334,0.0,18105
335,1.268761472843127e-06,10635
336,0.0,24515
337,-1.7031343561955407e-06,18117
338,0.00012057500932298794,1584
339,1.9240019240018973e-06,24777
340,7.482939657952536e-05,13532
341,1.0297228956120593e-05,27802
342,-4.304020691815905e-05,1858
343,-3.131017620948912e-05,1468
344,3.284683678269607e-06,23619
345,6.554024889216052e-05,28466
346,0.0,15369
347,-7.329706486436858e-06,1197
348,8.886521641623445e-06,19007
349,0.0,21264
350,-6.472849038446607e-07,25715
351,-2.1595939963286077e-07,27409
352,0.0,22044
353,-3.254397869386637e-07,19421
354,-1.349746247705438e-07,22681
355,1.0392452812277645e-05,8271
356,9.177498700601051e-05,152
357,-5.101563909297755e-06,6571
358,0.0,11302
359,3.0495930596573076e-06,7491
360,2.320343642586687e-05,18769
361,0.0,20606
362,0.0,26230
363,0.0,29100
364,0.0,149
